Flight_ID,Predicted_Delay_Prob,Actual_Delay
412312,0.99987996,1
412843,0.99945134,1
335145,0.99997735,1
267252,0.99997413,1
434194,0.99975914,1
410220,0.9999349,1
472323,0.9999752,1
499733,0.99993396,1
4568,0.999946,1
8265,0.999905,1
102818,0.9996675,1
397137,0.9999751,1
122913,0.9995983,1
133032,0.999713,1
355709,0.9999386,1
417740,0.9999738,1
400644,0.99987495,1
90353,0.9999201,1
122072,0.99992895,1
366312,0.99968183,1
369864,0.9993449,1
352787,0.9999783,1
496376,0.99978703,1
385542,0.9999267,1
190702,0.9999069,1
41100,0.9999478,1
348839,0.9998596,1
143636,0.9996718,1
218817,0.9999479,1
454847,0.99974877,1
40344,0.99973005,1
480685,0.9999026,1
82776,0.9986695,1
154371,0.9999367,1
349259,0.99985445,1
233988,0.9998785,1
82871,0.9999504,1
129086,0.9999404,1
169946,0.9999707,1
9246,0.9998629,1
5700,0.99996865,1
367936,0.99989235,1
72934,0.9996772,1
464488,0.99997056,1
78254,0.9999658,1
124281,0.99907184,1
416094,0.9999497,1
171693,0.99965584,1
89024,0.99989855,1
379977,0.999496,1
243444,0.9999031,1
229989,0.9997465,1
392951,0.9998716,1
138719,0.99994457,1
499564,0.9999453,1
260866,0.999925,1
225450,0.99977845,1
264459,0.99997175,1
359371,0.9999701,1
427500,0.99977046,1
112031,0.99965036,1
61034,0.9998307,1
132301,0.99985003,1
298913,0.9999491,1
242427,0.99985206,1
380599,0.9997801,1
492334,0.9997689,1
7535,0.9999746,1
168025,0.9999683,1
11765,0.9999628,1
279474,0.99994206,1
183077,0.9997608,1
430681,0.9997124,1
431619,0.99997115,1
5800,0.9998671,1
373281,0.9999548,1
169754,0.99988174,1
472829,0.9999057,1
381121,0.9997528,1
64953,0.9999006,1
19503,0.99992037,1
61290,0.9999548,1
268871,0.99970007,1
417254,0.99710065,1
455789,0.9998728,1
293123,0.9999614,1
341047,0.9998448,1
492938,0.999721,1
361179,0.9992003,1
252104,0.9999753,1
136140,0.9996362,1
352311,0.9996991,1
228777,0.99975604,1
146455,0.99941015,1
369048,0.9997576,1
400708,0.99819094,1
449646,0.99892443,1
131416,0.9999728,1
221080,0.999907,1
380575,0.99994326,1
147728,0.99992466,1
493900,0.99934727,1
81513,0.999936,1
152600,0.9998435,1
408223,0.9998336,1
3340,0.99988496,1
12534,0.9998306,1
322000,0.9999454,1
426457,0.9999676,1
207900,0.999959,1
22746,0.9999293,1
469484,0.9987061,1
360466,0.99996793,1
333829,0.9999207,1
121865,0.9998047,1
218128,0.999926,1
463739,0.9999124,1
308963,0.9999552,1
279170,0.9999577,1
171536,0.99997854,1
84381,0.9998287,1
486329,0.99944633,1
25043,0.99997234,1
473479,0.99988484,1
181829,0.9999691,1
184184,0.99994886,1
187164,0.9996331,1
445125,0.9999566,1
350463,0.99675983,1
22830,0.9999373,1
137841,0.99996996,1
108219,0.99985576,1
279727,0.99985063,1
476650,0.9992853,1
212015,0.99952114,1
148163,0.9998462,1
188046,0.9999205,1
