DOT_CODE,FL_NUMBER,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,YEAR,MONTH,DAY,DAY_OF_WEEK,QUARTER,DEP_HOUR,IS_WEEKEND,ROUTE_FREQUENCY,ORIGIN_DAILY_FLIGHTS,ORIGIN,DEST,SEASON,TIME_OF_DAY,DISTANCE_CATEGORY,DAY_OF_WEEK
19805,2048,2135,2129.0,19.0,2148.0,2227.0,7.0,2242,2234.0,127.0,125.0,99.0,647.0,0.0,0.0,0.0,0.0,0.0,2019,11,30,5,4,21,1,258,10,276,336,0,1,1,5
19805,867,851,904.0,35.0,939.0,1055.0,4.0,1056,1059.0,125.0,115.0,76.0,529.0,0.0,0.0,0.0,0.0,0.0,2019,9,18,2,3,8,0,296,7,123,77,0,2,1,2
19393,1024,815,855.0,13.0,908.0,1057.0,6.0,1035,1103.0,200.0,188.0,169.0,1259.0,28.0,0.0,0.0,0.0,0.0,2022,8,21,6,3,8,1,56,7,226,334,2,2,0,6
20409,866,1403,1344.0,19.0,1403.0,1653.0,7.0,1655,1700.0,172.0,196.0,170.0,1249.0,0.0,0.0,0.0,0.0,0.0,2020,12,28,0,4,14,0,162,4,311,49,3,0,0,0
19790,523,2225,2230.0,13.0,2243.0,534.0,5.0,544,539.0,319.0,309.0,291.0,2504.0,0.0,0.0,0.0,0.0,0.0,2022,1,26,2,1,22,0,135,1,195,200,3,1,3,2
19977,1875,1105,1056.0,26.0,1122.0,1346.0,6.0,1419,1352.0,194.0,176.0,144.0,1065.0,0.0,0.0,0.0,0.0,0.0,2022,8,9,1,3,11,0,403,5,131,123,2,2,0,1
19930,658,630,624.0,13.0,637.0,1151.0,9.0,1230,1200.0,240.0,216.0,194.0,1660.0,0.0,0.0,0.0,0.0,0.0,2019,8,19,0,3,6,0,320,10,323,100,2,3,0,0
19393,4301,1745,1323.0,14.0,1336.0,1502.0,6.0,2315,1505.0,210.0,120.0,95.0,1521.0,0.0,0.0,0.0,0.0,0.0,2020,4,18,5,2,17,1,208,3,199,225,1,0,0,5
20304,5655,1038,1030.0,14.0,1044.0,1141.0,3.0,1212,1144.0,94.0,74.0,57.0,326.0,0.0,0.0,0.0,0.0,0.0,2022,9,8,3,3,10,0,200,2,60,324,0,2,2,3
19805,116,1954,2027.0,11.0,2038.0,827.0,4.0,803,831.0,429.0,424.0,409.0,3711.0,28.0,0.0,0.0,0.0,0.0,2022,6,6,0,2,19,0,50,2,255,100,2,1,3,0
19805,901,1430,1425.0,11.0,1436.0,1533.0,5.0,1555,1538.0,85.0,73.0,57.0,331.0,0.0,0.0,0.0,0.0,0.0,2021,6,25,4,2,14,0,228,13,77,96,2,0,2,4
19805,2281,2259,2257.0,15.0,2312.0,2356.0,3.0,14,2359.0,75.0,62.0,44.0,247.0,0.0,0.0,0.0,0.0,0.0,2019,12,26,3,4,22,0,261,23,100,313,3,1,2,3
19977,250,1515,1513.0,15.0,1528.0,1821.0,11.0,1834,1832.0,259.0,259.0,233.0,1597.0,0.0,0.0,0.0,0.0,0.0,2021,5,16,6,2,15,1,97,4,49,174,1,0,0,6
19805,1922,1145,1135.0,31.0,1206.0,1301.0,5.0,1309,1306.0,84.0,91.0,55.0,331.0,0.0,0.0,0.0,0.0,0.0,2020,7,12,6,3,11,1,228,15,77,96,2,2,2,6
20409,66,2346,29.0,13.0,42.0,606.0,4.0,549,610.0,243.0,221.0,204.0,1826.0,0.0,11.0,0.0,0.0,10.0,2022,10,15,5,4,23,1,14,4,2,189,0,1,0,5
20304,5422,1155,1155.0,31.0,1226.0,1338.0,5.0,1330,1343.0,95.0,108.0,72.0,429.0,0.0,0.0,0.0,0.0,0.0,2021,9,19,6,3,11,1,111,5,174,359,0,2,2,6
20409,1427,2247,2244.0,13.0,2257.0,2.0,5.0,18,7.0,91.0,83.0,65.0,369.0,0.0,0.0,0.0,0.0,0.0,2019,10,20,6,4,22,1,252,9,49,61,0,1,2,6
19790,808,1929,1930.0,37.0,2007.0,2225.0,31.0,2243,2256.0,374.0,386.0,318.0,2475.0,0.0,0.0,0.0,0.0,0.0,2022,11,6,6,4,19,1,740,11,190,200,0,1,3,6
